model_id,dataset,Top-1 Accuracy,Top-5 Accuracy,Precision,Recall,F1-score,Classification Report
timm/mobilenetv3_small_100.lamb_in1k,superclass_bear,0.795,0.945,0.9135923600209316,0.795,0.8476521694820249,"{'Arctic fox, white fox, Alopex lagopus': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'Bedlington_terrier': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'Border_collie': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'Irish_water_spaniel': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'Newfoundland': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'black grouse': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'black_bear': {'precision': 0.8333333333333334, 'recall': 0.8, 'f1-score': 0.8163265306122449, 'support': 50.0}, 'brown_bear': {'precision': 0.8979591836734694, 'recall': 0.88, 'f1-score': 0.8888888888888888, 'support': 50.0}, 'cannon': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'coonhound': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'groenendael': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'hog, pig, grunter, squealer, Sus scrofa': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'hyena, hyaena': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'king penguin, Aptenodytes patagonica': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'marmot': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'mink': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'otter': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'paper towel': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'parachute, chute': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'polar_bear': {'precision': 1.0, 'recall': 0.78, 'f1-score': 0.8764044943820225, 'support': 50.0}, 'red_wolf': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'sea lion': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'sloth_bear': {'precision': 0.9230769230769231, 'recall': 0.72, 'f1-score': 0.8089887640449438, 'support': 50.0}, 'weasel': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'accuracy': 0.795, 'macro avg': {'precision': 0.14617477760334904, 'recall': 0.12720000000000004, 'f1-score': 0.13562434711712398, 'support': 200.0}, 'weighted avg': {'precision': 0.9135923600209316, 'recall': 0.795, 'f1-score': 0.8476521694820249, 'support': 200.0}}"
timm/resnet50.a1_in1k,superclass_bear,0.89,0.97,0.9236211901306243,0.89,0.9028825989030683,"{'black grouse': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'black_bear': {'precision': 0.8333333333333334, 'recall': 0.9, 'f1-score': 0.8653846153846154, 'support': 50.0}, 'brown_bear': {'precision': 0.8867924528301887, 'recall': 0.94, 'f1-score': 0.912621359223301, 'support': 50.0}, 'bucket, pail': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'coonhound': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'otter': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'polar_bear': {'precision': 1.0, 'recall': 0.96, 'f1-score': 0.9795918367346939, 'support': 50.0}, 'sloth_bear': {'precision': 0.9743589743589743, 'recall': 0.76, 'f1-score': 0.8539325842696629, 'support': 50.0}, 'three-toed sloth, ai, Bradypus tridactylus': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'accuracy': 0.89, 'macro avg': {'precision': 0.3694484760522497, 'recall': 0.356, 'f1-score': 0.36115303956122735, 'support': 200.0}, 'weighted avg': {'precision': 0.9236211901306243, 'recall': 0.89, 'f1-score': 0.9028825989030683, 'support': 200.0}}"
timm/inception_v3.tv_in1k,superclass_bear,0.865,0.96,0.9187359746900637,0.865,0.8890423608413982,"{'Norwich_terrier': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'black_bear': {'precision': 0.8461538461538461, 'recall': 0.88, 'f1-score': 0.8627450980392157, 'support': 50.0}, 'borzoi': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'brown_bear': {'precision': 0.9019607843137255, 'recall': 0.92, 'f1-score': 0.9108910891089109, 'support': 50.0}, 'bucket, pail': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'chimpanzee, chimp, Pan troglodytes': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'groenendael': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'ox': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'polar_bear': {'precision': 1.0, 'recall': 0.9, 'f1-score': 0.9473684210526315, 'support': 50.0}, 'red-breasted merganser, Mergus serrator': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'sloth_bear': {'precision': 0.926829268292683, 'recall': 0.76, 'f1-score': 0.8351648351648352, 'support': 50.0}, 'teddy, teddy bear': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'three-toed sloth, ai, Bradypus tridactylus': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'accuracy': 0.865, 'macro avg': {'precision': 0.2624959927685896, 'recall': 0.24714285714285714, 'f1-score': 0.25401210309754235, 'support': 200.0}, 'weighted avg': {'precision': 0.9187359746900637, 'recall': 0.865, 'f1-score': 0.8890423608413982, 'support': 200.0}}"
timm/swinv2_large_window12to16_192to256.ms_in22k_ft_in1k,superclass_bear,0.91,0.985,0.9295329670329671,0.91,0.9162316842117064,"{'black_bear': {'precision': 0.8392857142857143, 'recall': 0.94, 'f1-score': 0.8867924528301887, 'support': 50.0}, 'brown_bear': {'precision': 0.9038461538461539, 'recall': 0.94, 'f1-score': 0.9215686274509803, 'support': 50.0}, 'lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'otter': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'polar_bear': {'precision': 1.0, 'recall': 0.98, 'f1-score': 0.98989898989899, 'support': 50.0}, 'sloth_bear': {'precision': 0.975, 'recall': 0.78, 'f1-score': 0.8666666666666667, 'support': 50.0}, 'weasel': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'accuracy': 0.91, 'macro avg': {'precision': 0.5311616954474098, 'recall': 0.5199999999999999, 'f1-score': 0.5235609624066894, 'support': 200.0}, 'weighted avg': {'precision': 0.9295329670329671, 'recall': 0.91, 'f1-score': 0.9162316842117064, 'support': 200.0}}"
timm/efficientnet_b0.ra_in1k,superclass_bear,0.875,0.96,0.9364544343442059,0.875,0.9008100975792369,"{'Arabian camel, dromedary, Camelus dromedarius': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'Arctic fox, white fox, Alopex lagopus': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'Bedlington_terrier': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'affenpinscher': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'black_bear': {'precision': 0.8490566037735849, 'recall': 0.9, 'f1-score': 0.8737864077669902, 'support': 50.0}, 'brown_bear': {'precision': 0.9230769230769231, 'recall': 0.96, 'f1-score': 0.9411764705882353, 'support': 50.0}, 'bucket, pail': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'gorilla, Gorilla gorilla': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'kelpie': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'mink': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'otter': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'polar_bear': {'precision': 1.0, 'recall': 0.9, 'f1-score': 0.9473684210526315, 'support': 50.0}, 'sloth_bear': {'precision': 0.9736842105263158, 'recall': 0.74, 'f1-score': 0.8409090909090909, 'support': 50.0}, 'teddy, teddy bear': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'water buffalo, water ox, Asiatic buffalo, Bubalus bubalis': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'accuracy': 0.875, 'macro avg': {'precision': 0.23411360858605149, 'recall': 0.21875, 'f1-score': 0.22520252439480926, 'support': 200.0}, 'weighted avg': {'precision': 0.9364544343442059, 'recall': 0.875, 'f1-score': 0.9008100975792369, 'support': 200.0}}"
timm/beitv2_base_patch16_224.in1k_ft_in22k,superclass_bear,0.59,0.92,0.9615384615384616,0.59,0.7026186155042778,"{'Alaskan brown bear, Kodiak bear, Kodiak, Ursus middendorffi, Ursus arctos middendorffi': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'Asiatic black bear, black bear, Ursus thibetanus, Selenarctos thibetanus': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'Syrian bear, Ursus arctos syriacus': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'bear': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'bear cub': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'black_bear': {'precision': 0.9230769230769231, 'recall': 0.24, 'f1-score': 0.38095238095238093, 'support': 50.0}, 'brown_bear': {'precision': 0.9230769230769231, 'recall': 0.48, 'f1-score': 0.631578947368421, 'support': 50.0}, 'cinnamon bear': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'cub, young carnivore': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'freetail, free-tailed bat, freetailed bat': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'grizzly, grizzly bear, silvertip, silver-tip, Ursus horribilis, Ursus arctos horribilis': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'ice floe, floe': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'milk can': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'omnivore': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'plush': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'polar_bear': {'precision': 1.0, 'recall': 0.9, 'f1-score': 0.9473684210526315, 'support': 50.0}, 'sea otter, Enhydra lutris': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'siamang, Hylobates syndactylus, Symphalangus syndactylus': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'sloth_bear': {'precision': 1.0, 'recall': 0.74, 'f1-score': 0.8505747126436781, 'support': 50.0}, 'accuracy': 0.59, 'macro avg': {'precision': 0.19230769230769232, 'recall': 0.11800000000000002, 'f1-score': 0.1405237231008556, 'support': 200.0}, 'weighted avg': {'precision': 0.9615384615384616, 'recall': 0.59, 'f1-score': 0.7026186155042778, 'support': 200.0}}"
timm/mobilevit_s.cvnets_in1k,superclass_bear,0.89,0.965,0.9416781332416007,0.89,0.9112729224944698,"{'Irish_water_spaniel': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'affenpinscher': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'black_bear': {'precision': 0.8518518518518519, 'recall': 0.92, 'f1-score': 0.8846153846153846, 'support': 50.0}, 'brown_bear': {'precision': 0.9411764705882353, 'recall': 0.96, 'f1-score': 0.9504950495049505, 'support': 50.0}, 'bucket, pail': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'coonhound': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'cougar': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'otter': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'ox': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'polar_bear': {'precision': 1.0, 'recall': 0.94, 'f1-score': 0.9690721649484536, 'support': 50.0}, 'sloth_bear': {'precision': 0.9736842105263158, 'recall': 0.74, 'f1-score': 0.8409090909090909, 'support': 50.0}, 'teddy, teddy bear': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'accuracy': 0.89, 'macro avg': {'precision': 0.28974711792049257, 'recall': 0.2738461538461538, 'f1-score': 0.2803916684598369, 'support': 200.0}, 'weighted avg': {'precision': 0.9416781332416007, 'recall': 0.89, 'f1-score': 0.9112729224944698, 'support': 200.0}}"
timm/inception_v4.tf_in1k,superclass_bear,0.88,0.97,0.9262703962703962,0.88,0.8991808288240583,"{'Arabian camel, dromedary, Camelus dromedarius': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'black_bear': {'precision': 0.8363636363636363, 'recall': 0.92, 'f1-score': 0.8761904761904762, 'support': 50.0}, 'brown_bear': {'precision': 0.92, 'recall': 0.92, 'f1-score': 0.92, 'support': 50.0}, 'coonhound': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'fur coat': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'groenendael': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'milk can': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'otter': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'polar_bear': {'precision': 1.0, 'recall': 0.94, 'f1-score': 0.9690721649484536, 'support': 50.0}, 'skunk, polecat, wood pussy': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'sloth_bear': {'precision': 0.9487179487179487, 'recall': 0.74, 'f1-score': 0.8314606741573034, 'support': 50.0}, 'water buffalo, water ox, Asiatic buffalo, Bubalus bubalis': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'accuracy': 0.88, 'macro avg': {'precision': 0.2850062757755065, 'recall': 0.2707692307692308, 'f1-score': 0.27667102425355644, 'support': 200.0}, 'weighted avg': {'precision': 0.9262703962703962, 'recall': 0.88, 'f1-score': 0.8991808288240583, 'support': 200.0}}"
timm/swin_base_patch4_window7_224.ms_in22k_ft_in1k,superclass_bear,0.895,0.975,0.9278384640847402,0.895,0.9045585810862673,"{'black_bear': {'precision': 0.8245614035087719, 'recall': 0.94, 'f1-score': 0.8785046728971962, 'support': 50.0}, 'brown_bear': {'precision': 0.8867924528301887, 'recall': 0.94, 'f1-score': 0.912621359223301, 'support': 50.0}, 'lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'otter': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'polar_bear': {'precision': 1.0, 'recall': 0.98, 'f1-score': 0.98989898989899, 'support': 50.0}, 'siamang, Hylobates syndactylus, Symphalangus syndactylus': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'sloth_bear': {'precision': 1.0, 'recall': 0.72, 'f1-score': 0.8372093023255814, 'support': 50.0}, 'titi, titi monkey': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'accuracy': 0.895, 'macro avg': {'precision': 0.46391923204237007, 'recall': 0.4475, 'f1-score': 0.45227929054313354, 'support': 200.0}, 'weighted avg': {'precision': 0.9278384640847402, 'recall': 0.895, 'f1-score': 0.9045585810862673, 'support': 200.0}}"
timm/wide_resnet50_2.racm_in1k,superclass_bear,0.895,0.975,0.9259259259259259,0.895,0.9063067750868714,"{'black_bear': {'precision': 0.8333333333333334, 'recall': 0.9, 'f1-score': 0.8653846153846154, 'support': 50.0}, 'brown_bear': {'precision': 0.8703703703703703, 'recall': 0.94, 'f1-score': 0.9038461538461539, 'support': 50.0}, 'bucket, pail': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'chimpanzee, chimp, Pan troglodytes': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'ibex, Capra ibex': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'otter': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'polar_bear': {'precision': 1.0, 'recall': 0.96, 'f1-score': 0.9795918367346939, 'support': 50.0}, 'sloth_bear': {'precision': 1.0, 'recall': 0.78, 'f1-score': 0.8764044943820225, 'support': 50.0}, 'accuracy': 0.895, 'macro avg': {'precision': 0.411522633744856, 'recall': 0.3977777777777778, 'f1-score': 0.4028030111497206, 'support': 200.0}, 'weighted avg': {'precision': 0.9259259259259259, 'recall': 0.895, 'f1-score': 0.9063067750868714, 'support': 200.0}}"
